Country/Region,Date,R,ci_95_u,ci_95_l,ci_65_u,ci_65_l,n_eff_pct,Rhat_diff,signal_to_noise,var_irregular,days_infectious,last_updated
Taiwan,2020-03-19,0.6871272652141803,1.1913365463686052,0.25428032124763233,0.901289519098726,0.4704014919921045,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
Taiwan,2020-03-20,0.6871332656168658,1.1773378102639973,0.2644682243359988,0.8977787556047373,0.4746961447776391,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
Taiwan,2020-03-21,0.6852053001744152,1.166590118115894,0.26900357105374983,0.8915578539884866,0.4761258826384199,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
Taiwan,2020-03-22,0.6825413473378685,1.150147153397938,0.27550588099640105,0.8834633279759422,0.4779637534609546,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
Taiwan,2020-03-23,0.6795938744194782,1.1423841379702726,0.2820092795132829,0.8784123385885948,0.4804508151486177,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
Taiwan,2020-03-24,0.6743517527291112,1.1168957521272669,0.2830232344547534,0.8675381092765959,0.4793601436374255,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
Taiwan,2020-03-25,0.6686193033430629,1.1001361106873668,0.28391058231492394,0.8587153220633768,0.4786715619229584,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
Taiwan,2020-03-26,0.6620216541706571,1.084995971929117,0.2825869820225281,0.8488498810216928,0.4761553625271601,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
Taiwan,2020-03-27,0.6550815085077449,1.0684186180777115,0.2818615868697706,0.8392309365316803,0.4715587167454135,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
Taiwan,2020-03-28,0.6483025986361098,1.0535753027275607,0.2786375935863381,0.8296863830098968,0.467869073216917,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
Taiwan,2020-03-29,0.6409252042881352,1.0360404417555018,0.27522233917640704,0.8197160823093449,0.4629531839221844,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
Taiwan,2020-03-30,0.6335140063311433,1.0248243388749936,0.2722519121824447,0.8095640725499211,0.4590597846318012,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
Taiwan,2020-03-31,0.6261933888825628,1.0120745848199129,0.26635019213187483,0.7994884371049555,0.4541569187673785,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
Taiwan,2020-04-01,0.6181895762298126,1.0013056178400088,0.2636673686771276,0.7881825309495598,0.44795720991786014,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
Taiwan,2020-04-02,0.6108910003516208,0.9887453220294676,0.2634519091541492,0.7775497420599163,0.4439267791136096,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
Taiwan,2020-04-03,0.6036544826255101,0.9748407367179416,0.2582561315479872,0.7681728528002774,0.4371596095996315,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
Taiwan,2020-04-04,0.596031800818234,0.960314568030773,0.25480684857606506,0.7608840796129226,0.4331913529184307,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
Taiwan,2020-04-05,0.5880935572795944,0.9440522051182656,0.25114917031848405,0.7493956835112769,0.4247593164393386,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
Taiwan,2020-04-06,0.5802058246982371,0.9393306124774178,0.2447051442730308,0.7416098127484303,0.4184900618473767,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
Taiwan,2020-04-07,0.5716486989259584,0.9267313863943928,0.2354327990477547,0.7304797679376893,0.4116977418493726,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
Taiwan,2020-04-08,0.5633435398790989,0.911390385492754,0.23063412462392696,0.7229311504210884,0.40428894873154,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
Taiwan,2020-04-09,0.5551391541703151,0.9018747378465822,0.22413731125373004,0.7118866796064282,0.3953295627444403,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
Taiwan,2020-04-10,0.5488052084410349,0.8924085881326393,0.21590613045756346,0.7037428401623986,0.3889850429786468,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
Taiwan,2020-04-11,0.5433187291832621,0.8854625719000768,0.2146412017900996,0.697912177370135,0.3854632060209477,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
Taiwan,2020-04-12,0.5378946725135729,0.8773841497777214,0.20865894612158895,0.6906268779101973,0.3810041760672773,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
Taiwan,2020-04-13,0.5319627386368468,0.8723710043959071,0.20534100168316327,0.6851528550167769,0.37577908942890215,0.02304138081521204,0.0019616519538492305,0.002775206864093109,0.0429222392208693,5,2021-02-16
