Country/Region,Date,R,ci_95_u,ci_95_l,ci_65_u,ci_65_l,n_eff_pct,Rhat_diff,signal_to_noise,var_irregular,days_infectious
Iceland,2020-03-13,1.592740719669512,2.293611481429731,0.9319456282304045,1.9141487140039541,1.2686078249586972,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-03-14,1.579898216733387,2.2342733259321914,0.9522963351995283,1.882779261207201,1.2755190438229855,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-03-15,1.575181545427323,2.2031390144472365,0.9723801932553572,1.8633489928871594,1.2871521352669528,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-03-16,1.5836084805777766,2.188374933602154,0.9996120941896016,1.865680443036195,1.3037300376574201,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-03-17,1.6164908099041653,2.223691729734332,1.0417378163842261,1.8904858393079205,1.3396804914813558,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-03-18,1.631669805491165,2.2268278735907847,1.070961762033086,1.9092422732544252,1.355635138803787,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-03-19,1.649926590283082,2.2548215296601892,1.0843640106534471,1.927284324667358,1.3698619911805245,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-03-20,1.6257959729804077,2.219587232109653,1.0779185829597675,1.9000513187776338,1.3507401198493052,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-03-21,1.5813689507069433,2.165355879557424,1.04425351860879,1.845311902948615,1.312718691072629,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-03-22,1.534117065817576,2.100570048325719,1.0132363537896711,1.7938726487127181,1.2744969672052449,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-03-23,1.4714981966458485,2.0155942821991615,0.9622438091493472,1.7246630874404945,1.2193756867749144,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-03-24,1.4305265173672566,1.970343639668378,0.9251061626096272,1.6786715687373912,1.1799385626365981,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-03-25,1.3938687050591396,1.92941245059426,0.8891260407795788,1.6408807964155465,1.1461029494610862,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-03-26,1.3458716297375082,1.883067249285375,0.8519726214181269,1.5869906077993745,1.1017331618008128,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-03-27,1.300268328526757,1.8230879767791843,0.8089202569594313,1.538767512734648,1.0584369592788678,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-03-28,1.249836454995406,1.7656659372678936,0.756678603636147,1.4853824106707436,1.0119652758856637,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-03-29,1.1993486641476667,1.7116715472202138,0.7056310459858479,1.4331837840469794,0.9641587968983366,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-03-30,1.1541015208805674,1.6553473973129982,0.6611394372603119,1.3854215992932941,0.9220375729087318,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-03-31,1.1113107740668653,1.614091828071362,0.6159458104713718,1.343011632826659,0.8797655311565792,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-04-01,1.073997978783756,1.5804268510608963,0.5826235535804554,1.3038632761729843,0.8411976056783678,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-04-02,1.029641102961935,1.531976595822738,0.5370310831020684,1.2619058007911208,0.7965579305293178,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-04-03,0.973015199748994,1.469388436326295,0.48184907739595284,1.2056217492420163,0.7405501845884697,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-04-04,0.9237757279978868,1.4223853558378132,0.42770246442204174,1.154907046021334,0.6945338287578524,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-04-05,0.8774812813597027,1.3704721194880378,0.38131449513839877,1.1107178706485465,0.6492749505692839,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-04-06,0.8263157442280247,1.32249068227366,0.33237060761926474,1.0590610041766386,0.5948619334095833,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-04-07,0.7683250975237617,1.2598229478065293,0.26443158601888916,1.0014943674163928,0.5357165788110801,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-04-08,0.7197099138282251,1.2116663149146882,0.20885638940111362,0.9540116794048076,0.48809859769944886,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-04-09,0.6743345726948864,1.1701537049772335,0.1598494496031686,0.9076765165964535,0.4405253685583773,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
Iceland,2020-04-10,0.6304036298898676,1.1193052233025744,0.11397105115783168,0.8657780503877649,0.39610666893975277,0.024421991439931668,0.0030838878742296405,0.020747846937814052,0.0189459682573495,7
