Country/Region,Date,R,ci_95_u,ci_95_l,ci_65_u,ci_65_l,n_eff_pct,Rhat_diff,signal_to_noise,var_irregular,days_infectious
US,2020-03-05,3.255608989907341,3.5671672773167615,2.9559381456587133,3.4011518479626384,3.1098236987181678,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-06,3.166441080239205,3.4375664701390902,2.8966919091613557,3.296671160837289,3.036426144211915,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-07,3.183674409409946,3.43803473924765,2.9289962423566154,3.3043432488970175,3.061456413904658,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-08,3.032014243366924,3.2727027814004703,2.7826159321646418,3.1492701030406525,2.9146065217795503,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-09,2.9554003787293266,3.1970920886188408,2.7002197570800495,3.073518358590316,2.8381920070189812,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-10,3.0279760423004807,3.2598047584754295,2.7894514633752676,3.1393705152047438,2.917910910179387,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-11,3.1166816213072432,3.3481261739970067,2.8848728261115557,3.226260395433031,3.0071552424503136,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-12,3.1129788212424896,3.345592444380887,2.88366396543131,3.223704596041289,3.002790997286506,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-13,3.0932231582596192,3.326756546294747,2.8639370317532546,3.2030097190634548,2.9840168758125967,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-14,3.0452199703193674,3.2731057314235623,2.8165368147432503,3.15449060269919,2.9366036247255165,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-15,3.006600198408804,3.2340371285906606,2.773875465098409,3.1161022339452797,2.896715127237996,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-16,3.1626015610900877,3.4015414538684756,2.929113769953817,3.2743525183384077,3.0509879725441964,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-17,3.2059745962679598,3.4589032128205925,2.963000756980233,3.323269345671606,3.089619189007615,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-18,3.218490486133396,3.4878216900944623,2.9675142612911,3.339947878286048,3.095319445673927,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-19,3.1996859886893247,3.4730513511645063,2.9426873946408243,3.3241273583778845,3.074220177872852,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-20,3.0937312167155064,3.3568331773717244,2.8436041822307203,3.2145422055037116,2.9731632151479186,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-21,2.9206312175167435,3.164243166151534,2.685879366890915,3.032638516879641,2.8077327024489054,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-22,2.785434296150678,3.0234138088954436,2.5573429598215234,2.897750078069271,2.674554716770775,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-23,2.636910489918083,2.8673665653316354,2.412072388540878,2.745963908633239,2.52789693677142,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-24,2.474145779921466,2.703495232393458,2.24536739246797,2.584127536308186,2.365568695211277,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-25,2.3475760529298304,2.5744548950948656,2.118895064314545,2.456891265455009,2.239570309230718,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-26,2.251995178367944,2.4797982792306574,2.02260060207807,2.361117057700322,2.14517200746905,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-27,2.1339466123776476,2.3619533378469617,1.9047372602689607,2.2437958639085633,2.024707783830732,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-28,2.0180236121742974,2.2455887233522294,1.7859840959300386,2.12766735659756,1.909769381054968,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-29,1.9147026287506432,2.1410445455947653,1.6819774717126057,2.024858316326097,1.804786465034614,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-30,1.8402429350561071,2.0707986898066535,1.606192415438397,1.949446592705796,1.730199246499676,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-03-31,1.7789797282378448,2.0074124968744345,1.5472884957657265,1.8874447698534595,1.6699124822467895,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-04-01,1.7168180015344217,1.9421282963617637,1.486751502574531,1.8259873541905796,1.6100301413620062,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
US,2020-04-02,1.6349667453998877,1.85932639383905,1.409674158645656,1.7435497676744003,1.5267616780980895,0.2186687069629452,0.0008337894748073893,0.08412578853218522,0.00262520390154799,6
