Country/Region,Date,R,ci_95_u,ci_95_l,ci_65_u,ci_65_l,n_eff_pct,Rhat_diff,signal_to_noise,var_irregular,days_infectious,last_updated
Ecuador,2020-03-19,1.4878687896318252,2.1353617501219966,1.0500198185115548,1.7739511174936016,1.1691654704559982,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
Ecuador,2020-03-20,1.4840618753718182,2.1165655445827607,1.0503910280751292,1.7670697466544274,1.1692687991610302,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
Ecuador,2020-03-21,1.4755384477994165,2.0865173994340376,1.0494719903652825,1.751658724060218,1.168797722074908,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
Ecuador,2020-03-22,1.465936962015777,2.050442501742972,1.0498689360988551,1.733451979243636,1.1680127838678094,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
Ecuador,2020-03-23,1.4533380790274406,2.0012255308919595,1.0493455327155443,1.7088184154781398,1.1674845789884452,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
Ecuador,2020-03-24,1.4408882383858717,1.9544764141754296,1.0495224503421567,1.685902467054612,1.1665387823948374,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
Ecuador,2020-03-25,1.4294456109440137,1.9206964109159743,1.0489845164421214,1.6663237827758048,1.16635826170339,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
Ecuador,2020-03-26,1.4199024180797404,1.8937352164544932,1.0490821122328888,1.6486060454439693,1.1650610795035974,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
Ecuador,2020-03-27,1.4096702913492118,1.8642965047881823,1.0478983257707952,1.629944350955915,1.1646449399375445,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
Ecuador,2020-03-28,1.3999187864422773,1.838298855102848,1.0478301320042458,1.6127881383200358,1.1635102296816568,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
Ecuador,2020-03-29,1.3905915651011231,1.8144208975346745,1.046747440430806,1.5983636592779031,1.1630777213362236,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
Ecuador,2020-03-30,1.3828212009179242,1.7959136623898049,1.0471412962113622,1.5844031736754642,1.16184488883559,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
Ecuador,2020-03-31,1.3772239730837377,1.7848407825557138,1.046416344364597,1.5720320611962688,1.1609923959077095,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
Ecuador,2020-04-01,1.3703790693143167,1.7680188990652017,1.0458774114236578,1.562458912007623,1.1599361413375429,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
Ecuador,2020-04-02,1.3605537436057134,1.747007150668718,1.0457263394216365,1.5454774710518606,1.1570241220544242,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
Ecuador,2020-04-03,1.3506864127333773,1.7238581634528345,1.0442375174108187,1.5286561683618345,1.1558903215685359,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
Ecuador,2020-04-04,1.3417547435659092,1.7003347203742742,1.0433050423374464,1.5149092743523296,1.154047443476261,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
Ecuador,2020-04-05,1.3346930900883895,1.6909341091505343,1.0432020602932597,1.503851881710671,1.1526635499235656,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
Ecuador,2020-04-06,1.3282347617662564,1.6789026389863282,1.043038040845432,1.4938046776206808,1.1505312171147588,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
Ecuador,2020-04-07,1.3238114988845535,1.6735191843068962,1.0427453145146492,1.4869776701661903,1.1494440872926968,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
Ecuador,2020-04-08,1.3216193988888505,1.6678433157367607,1.0421279530507601,1.4830842452618611,1.1489551509553562,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
Ecuador,2020-04-09,1.3147770547298556,1.6596079198680374,1.0415590169878195,1.4737834101626441,1.147500030646586,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
Ecuador,2020-04-10,1.3062623551637205,1.6410513837385243,1.040940636187352,1.4608598908959147,1.1441868210055706,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
Ecuador,2020-04-11,1.2885472650915222,1.6047810165920038,1.0378694783340252,1.433363485345966,1.1390301906964515,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
Ecuador,2020-04-12,1.273513202551333,1.572215360760992,1.0343942401745203,1.4116753940470446,1.1329330167530678,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
Ecuador,2020-04-13,1.2596803057048684,1.544433433779722,1.0262519001048134,1.3937918517153025,1.1268679699592203,0.00021195366589918,0.2754457249883395,0.0016461346465831985,0.027807990106592025,5,2021-02-16
