Country/Region,Date,total_cases,total_deaths,total_recovered,new_cases,new_recovered,new_deaths,infected_5,infected_6,infected_7,infected_8,infected_9,infected_10,gr_infected_5,gr_infected_6,gr_infected_7,gr_infected_8,gr_infected_9,gr_infected_10
Tajikistan,2020-06-23,5567,52,4109,54.0,70.0,0.0,300.67458436352183,372.5460690209775,450.0468891912426,532.9106098491228,620.354261534753,711.3388283486098,-0.02487048630702615,-0.02539981588334528,-0.025987864120392223,-0.02633858171384884,-0.026358504377075653,-0.026065526781531182
Tajikistan,2020-06-24,5630,52,4194,63.0,85.0,0.0,303.53966749081746,373.45505751748124,448.7544764496365,529.2967836179827,614.4260102531138,703.2049455137487,0.009528850379424414,0.0024399358148980976,-0.0028717290856705713,-0.00678129908534475,-0.009556235282357606,-0.011434611061150624
Tajikistan,2020-06-25,5691,52,4267,61.0,73.0,0.0,303.831733992654,372.2125479312344,445.64669409968855,524.1346856657348,607.1564535583233,693.884450962374,0.000962202087954056,-0.003327065897852255,-0.006925351195458895,-0.009752747630473957,-0.011831459888548279,-0.013254307454515168
Tajikistan,2020-06-26,5747,52,4331,56.0,64.0,0.0,299.0653871941232,366.1771232760287,437.98288065687586,514.6178499575178,595.6946253851762,680.4960058661367,-0.01568745547377881,-0.01621499513853231,-0.01719706113448305,-0.01815723318545293,-0.018877882473246288,-0.019294920181117337
Tajikistan,2020-06-27,5799,52,4391,52.0,60.0,0.0,291.2523097552986,357.1476027300239,427.4138977058937,502.29061871282823,581.5063336757123,664.4464052795229,-0.0261249806008248,-0.024658887658577818,-0.02413104122958221,-0.02395414625766945,-0.02381806231723149,-0.023585150314270664
Tajikistan,2020-06-28,5849,52,4448,50.0,57.0,0.0,283.0018478042389,347.6230022750199,416.3547694621946,489.5042913737246,566.8945188228553,648.0017647515706,-0.02832754170427532,-0.02666852691211774,-0.0258745171906154,-0.025456034540063288,-0.025127524855138472,-0.024749385950901925
Tajikistan,2020-06-29,5900,52,4506,51.0,58.0,0.0,277.40147824339107,340.68583522918334,407.8755166818811,479.31625495200905,554.9062389536491,634.2015882764135,-0.019789162524202708,-0.01995600693980648,-0.020365451298338888,-0.020812966507656742,-0.021147284849568848,-0.021296510635966714
Tajikistan,2020-06-30,5900,52,4506,0.0,0.0,0.0,221.92118259471286,283.90486269098614,349.60758572732664,419.40172308300794,493.24999018102136,570.7814294487723,-0.2,-0.16666666666666666,-0.1428571428571428,-0.125,-0.11111111111111116,-0.09999999999999998
Tajikistan,2020-07-01,6005,52,4627,105.0,121.0,0.0,282.5369460757704,341.5873855758217,404.6636449091372,471.976507697632,543.4444357164634,618.703286503895,0.2731409537942033,0.2031755368262913,0.1574795897728345,0.1253566252140037,0.10176268937586964,0.08395833252914864
Tajikistan,2020-07-02,6058,52,4690,53.0,63.0,0.0,279.02955686061625,337.65615464651813,399.8545527792605,465.979444235428,536.0617206368563,609.8329578535055,-0.012413913521290398,-0.011508712251410036,-0.011884171435653791,-0.012706275342937112,-0.013585041256101826,-0.014336967079184415
Tajikistan,2020-07-03,6058,52,4690,0.0,0.0,0.0,223.22364548849305,281.38012887209845,342.73247381079466,407.7320137059995,476.49930723276117,548.849662068155,-0.2,-0.16666666666666666,-0.1428571428571428,-0.12499999999999988,-0.11111111111111116,-0.09999999999999988
Tajikistan,2020-07-04,6159,52,4809,101.0,119.0,0.0,279.57891639079446,335.4834407267487,394.7706918378241,457.7655119927496,524.5549397624543,594.9646958613397,0.2524610274999137,0.1922783676001618,0.15183334525737724,0.12271172388937646,0.10085142160808824,0.08402124840419067
Tajikistan,2020-07-05,6213,53,4858,54.0,49.0,1.0,277.6631331126356,333.56953393895725,392.3748787181348,454.5448229936558,520.2710575666259,589.4682262752058,-0.006852388237605811,-0.0057049217798810226,-0.006068872814584125,-0.007035674192827135,-0.008166698797590577,-0.009238312162668016
Tajikistan,2020-07-06,6262,53,4914,49.0,56.0,0.0,271.1305064901085,326.9746116157977,385.32132461554426,446.7267201194488,511.46316228144536,579.5214036476851,-0.02352716599173832,-0.019770757374881875,-0.017976569054660718,-0.017199850220967372,-0.016929435449237418,-0.01687423033871316
Tajikistan,2020-07-07,6315,53,4965,53.0,51.0,0.0,269.9044051920868,325.47884301316475,383.27542109903794,443.88588010451775,507.63392202795137,574.5692632829166,-0.0045221812694339345,-0.004574571081348955,-0.005309603662729034,-0.006359234599111363,-0.007486834900118922,-0.008545224272301644
Tajikistan,2020-07-08,6364,54,5011,49.0,46.0,1.0,264.9235241536694,320.23236917763734,377.52178951346116,437.4001450914531,500.23015291373457,566.112336954625,-0.01845424136324314,-0.01611924691312505,-0.015011741606279829,-0.014611266777707743,-0.014584858877514484,-0.014718723866242513
Tajikistan,2020-07-09,6410,54,5067,46.0,56.0,0.0,257.9388193229355,312.8603076480311,369.59010529725236,428.72512695502144,490.6490248122085,555.5011032591625,-0.026364985340759702,-0.02302097551393001,-0.02100987131479426,-0.019833139594907626,-0.019153439763113126,-0.018744042485534074
Tajikistan,2020-07-10,6457,55,5115,47.0,48.0,1.0,253.35105545834838,307.71692304002585,363.79151882621636,422.1344860856437,483.13246649974093,546.9509929332462,-0.01778624821432273,-0.016439875824041942,-0.015689236232047876,-0.015372648942195366,-0.01531962346270743,-0.015391707191492963
Tajikistan,2020-07-11,6506,55,5176,49.0,61.0,0.0,251.68084436667874,305.43076920002164,360.8213018510426,418.36767532493826,478.45108133310305,541.2558936399216,-0.006592477338008385,-0.007429405628454622,-0.008164613030994361,-0.00892324812320888,-0.009689651371505126,-0.010412448952295206
Tajikistan,2020-07-12,6552,55,5228,46.0,52.0,0.0,247.344675493343,300.525641000018,355.275401586608,412.071715909321,471.28985007386933,533.1303042759295,-0.017228839502057114,-0.016059705486945464,-0.015370213000129753,-0.01504886679098072,-0.014967530722849396,-0.015012472768375697
Tajikistan,2020-07-13,6596,55,5278,44.0,50.0,0.0,241.8757403946744,294.4380341666817,348.5217727885212,404.56275142065584,462.9243111767727,523.8172738483365,-0.022110583491479985,-0.02025653056783916,-0.019009559254387187,-0.018222470018586567,-0.0177503056681263,-0.017468581982488133
Tajikistan,2020-07-14,6643,56,5332,47.0,54.0,1.0,240.50059231573957,292.3650284722347,345.73294810444673,400.9924074930738,458.4882766015757,518.4355464635029,-0.005685349331400524,-0.007040549976208066,-0.008001866459478424,-0.008825191926454923,-0.009582634716073568,-0.01027405481551924
Tajikistan,2020-07-15,6695,56,5383,52.0,51.0,0.0,244.40047385259163,295.63752372686224,348.3425269466687,402.8683565564396,459.5451347569562,518.5919918171527,0.01621568370913673,0.011193182959426062,0.007547961096937783,0.004678265793344627,0.002305093083762477,0.0003017643267650971
Tajikistan,2020-07-16,6741,56,5431,46.0,48.0,0.0,241.52037908207333,292.3646031057185,344.57930881143034,398.5098119868846,454.48456422840536,512.7327926354374,-0.011784325640282643,-0.011070721266653429,-0.010803211908187338,-0.010818781119495413,-0.011012129485882037,-0.01129828318633408
Tajikistan,2020-07-17,6786,56,5483,45.0,52.0,0.0,238.2163032656587,288.6371692547655,340.3536932669403,393.6960854885241,448.986279314138,506.4595133718937,-0.013680318940257452,-0.012749265168756518,-0.012263114576048116,-0.012079317380820132,-0.012097847423271468,-0.012234987411862576
Tajikistan,2020-07-18,6834,57,5529,48.0,46.0,1.0,238.5730426125269,288.53097437897117,339.73173708594885,392.48407480245857,447.09891494590056,503.81356203470426,0.0014975437951887385,-0.00036791822781667705,-0.001827381906808423,-0.0030785439092226863,-0.004203612571681893,-0.005224408402506264
Tajikistan,2020-07-19,6878,57,5578,44.0,49.0,0.0,234.85843409002155,284.4424786491427,335.1986317879562,387.42356545215125,441.4212577296894,497.4322058312339,-0.015570110025122985,-0.014170040976115406,-0.013343190532846385,-0.012893540592326723,-0.012698883907822034,-0.012666106441634128
Tajikistan,2020-07-20,6921,57,5629,43.0,51.0,0.0,230.8867472720173,280.0353988742856,330.31311296110533,381.9956197706324,435.3744513152794,490.6889852481105,-0.016910982283403708,-0.015493746910753003,-0.01457499632618242,-0.014010365309565231,-0.013698493918280708,-0.013556059507355613
Tajikistan,2020-07-21,6967,57,5683,46.0,54.0,0.0,230.70939781761382,279.362832395238,329.1255253952332,380.2461672993033,432.99951228024844,487.6200867232994,-0.0007681231447835835,-0.002401719503145827,-0.0035953388444860397,-0.004579771025593149,-0.005454934316555082,-0.006254264140979847
Tajikistan,2020-07-22,7015,58,5741,48.0,58.0,1.0,232.56751825409103,280.802360329365,330.1075931959142,380.7153963868904,432.8884553602208,486.8580780509695,0.008053943419964904,0.005152897118720468,0.0029838700583970645,0.0012340139834146056,-0.00025648278318557427,-0.001562709767455428
Tajikistan,2020-07-23,7060,58,5793,45.0,52.0,0.0,231.05401460327286,279.0019669411376,327.9493655964979,378.12597183852915,429.789738097974,483.1722702458725,-0.006507803248623101,-0.006411603471266014,-0.006537952000805425,-0.006801470528735587,-0.00715823493067802,-0.007570600080935796
Tajikistan,2020-07-24,7104,58,5851,44.0,58.0,0.0,228.8432116826183,276.5016391176146,325.09945622556967,374.8602253587129,426.03532275375466,478.8550432212853,-0.009568338054850913,-0.008961685291811737,-0.008690089598876405,-0.008636662707767417,-0.008735469955226116,-0.008935171346630244
Tajikistan,2020-07-25,7150,59,5906,46.0,55.0,1.0,229.07456934609462,276.4180325980122,324.65667676477403,374.0026971888738,424.698064670004,476.9695388991568,0.0010109876617061528,-0.0003023726002827632,-0.001361981548466229,-0.002287594446752861,-0.0031388432186959525,-0.003937526290721749
