Date,R,lb_65,ub_65
2020-01-23,1.268305341634291,0.5448578186231563,1.9917528646454183
2020-01-24,2.3671250171000464,1.845326467046528,2.88892356715356
2020-01-25,3.1237580269275527,2.6844116650822976,3.5631043887727887
2020-01-26,3.4133146503088945,3.0170385677731715,3.809590732844622
2020-01-27,3.412633580008483,3.041137745778533,3.7841294142384534
2020-01-28,4.5797394587532425,4.22320982714705,4.93626909035943
2020-01-29,3.745347078108682,3.398115280487333,4.092578875729972
2020-01-30,3.631646579368777,3.2902983386863496,3.972994820051221
2020-01-31,3.2792445934323244,2.9416686506285075,3.6168205362361268
2020-02-01,3.050356822535449,2.7152241528945353,3.3854894921763536
2020-02-02,3.300131896977011,2.966594890582209,3.6336689033718312
2020-02-03,3.007865697664947,2.675378238325685,3.3403531570041975
2020-02-04,2.8360054551132494,2.5042127152737024,3.1677981949527823
2020-02-05,2.6120913059373363,2.2807610765602573,2.943421535314381
2020-02-06,2.350584719062308,2.0195640607961316,2.6816053773284834
2020-02-07,2.162815883742087,1.8320034781917134,2.493628289292476
2020-02-08,1.9337910875454067,1.603119450455823,2.2644627246350195
2020-02-09,1.7755630678786816,1.4449870218375906,2.1061391139197907
2020-02-10,1.607932017992962,1.2774211727567233,1.9384428632292048
2020-02-11,1.438665156619709,1.1081989745376764,1.769131338701752
2020-02-12,1.1779630743847171,0.8475276144040327,1.5083985343653854
2020-02-13,2.31016955631444,1.979755314492507,2.6405837981363582
2020-02-14,2.157221213365128,1.8268216836295426,2.487620743100736
2020-02-15,1.809226275332211,1.4788369857998114,2.1396155648646276
2020-02-16,1.5447926803505287,1.2144105451873821,1.8751748155136654
2020-02-17,1.3339892119628907,1.003612093579693,1.6643663303460854
2020-02-18,1.1665738376588153,0.8362002497411358,1.4969474255765036
2020-02-19,0.9564251316493546,0.6260540369079366,1.2867962263907726
2020-02-20,0.7969650984749316,0.46661379830766425,1.127334426577753
2020-02-21,0.6759084896441718,0.3457061690081033,1.0062765618145866
2020-02-22,0.6739729645013344,0.34360671869449266,1.0043401409445138
2020-02-23,0.540987301016048,0.21176287176972447,0.8713538367316076
2020-02-24,0.4579029506533813,0.13407544676795113,0.788269026722185
2020-02-25,0.4329058348749892,0.10945514721334015,0.7632715803501644
2020-02-26,0.40528353748883544,0.08421831721238078,0.7356490446507675
2020-02-27,0.3931007316294954,0.07159594718147294,0.7234660667273263
2020-02-28,0.37172726166247816,0.05379641139751257,0.702092472328514
2020-02-29,0.3805554989136726,0.05685975004072376,0.7109206194512551
2020-03-01,0.4264435397817064,0.09617797570680148,0.7568085950206717
2020-03-02,0.3858993902296769,0.05855159411421944,0.716264398122135
2020-03-03,0.33942723268639824,0.026878666338983077,0.6697922062115182
2020-03-04,0.30693347766306783,0.013221329692718772,0.6372984262171633
2020-03-05,0.29442067023780377,0.008760801006235113,0.6247856006504546
2020-03-06,0.2911014985750482,0.006830734719648245,0.6214664158743197
2020-03-07,0.2649211242670963,0.003083736947955821,0.5952860321113462
2020-03-08,0.23601989411562077,0.0011901451604241313,0.5663847951121125
2020-03-09,0.2080915917496442,0.00045553251947613054,0.5384564877757951
2020-03-10,0.18270478537163548,0.00018059637944144573,0.5130696778308788
2020-03-11,0.16993422701752683,8.822411590493257e-05,0.5002991168783232
2020-03-12,0.1446394840098421,2.7480498459962882e-05,0.47500437201008533
2020-03-13,0.12780403107984217,1.0646854353706902e-05,0.45816891774127033
2020-03-14,0.13673395899110938,7.499251781559762e-06,0.4670988446878753
2020-03-15,0.14097382511671103,5.111990857712834e-06,0.4713387101066082
2020-03-16,0.1541608199166899,4.102314266237758e-06,0.4845257044074352
2020-03-17,0.16201931196132363,2.9449437310467646e-06,0.49238419609216716
2020-03-18,0.20701811359298622,5.806904179842057e-06,0.5373829974633805
2020-03-19,0.26956365677803273,5.066532885335304e-05,0.5999285404579203
2020-03-20,0.41050868975444343,0.08014380621115778,0.7408735732977286
2020-03-21,0.4410011827342,0.11063629929689589,0.7713660661715018
2020-03-22,0.6412163090494944,0.3108514256792811,0.9715811924197073
2020-03-23,0.6411997808483693,0.3108348975239732,0.971564664172769
2020-03-24,0.7153805388209691,0.3850156555260053,1.0457454221159435
2020-03-25,0.7228379638495414,0.3924730805745088,1.0532028471245745
2020-03-26,0.8519775311565838,0.521612647897639,1.1823424144155332
2020-03-27,0.9274757327670237,0.5971108495188316,1.2578406160152173
2020-03-28,0.9519221447079628,0.6215572614665108,1.2822870279494096
2020-03-29,1.0140566428018185,0.6836917595658428,1.3444215260377943
2020-03-30,0.958819563085785,0.6284546798542637,1.2891844463173072
2020-03-31,0.9316870907249304,0.6013222074970382,1.2620519739528242
2020-04-01,0.9168143498485588,0.5864494666236097,1.2471792330734952
2020-04-02,0.8845754958183767,0.5542106125958322,1.214940379040923
2020-04-03,0.8828874960184881,0.5525226127959365,1.2132523792410337
2020-04-04,0.7760051354404354,0.44564025221788595,1.1063700186629861
2020-04-05,0.7678170797606516,0.4374521965381072,1.0981819629832044
2020-04-06,0.7777736038120715,0.4474087205895172,1.1081384870346158
2020-04-07,0.762889092511439,0.43252420928889396,1.0932539757339912
2020-04-08,0.8653546933253432,0.5349898101027935,1.1957195765478899
2020-04-09,0.8903536959492078,0.5599888127266608,1.2207185791717607
2020-04-10,0.866617462099878,0.5362525788773289,1.1969823453224229
2020-04-11,0.8956867201993678,0.5653218369768238,1.2260516034219102
2020-04-12,1.0513281024727537,0.7209632192502,1.3816929856952964
2020-04-13,1.0391642479767444,0.7087993647541965,1.3695291311992919
