Date,R_filtered,R_smoothed
2020-01-23,1.2135036469698484,3.1474081948831367
2020-01-24,2.351261428247872,3.246440205877899
2020-01-25,3.1151098394767844,3.3358883506480583
2020-01-26,3.406405062940598,3.3672506079203246
2020-01-27,3.408186161273187,3.3603753892018746
2020-01-28,4.562894320424853,3.350785827258012
2020-01-29,3.7472702679254972,3.086215399761884
2020-01-30,3.6350061668138003,2.9339254320476806
2020-01-31,3.2870425837923714,2.766754524430821
2020-02-01,3.0583932042701463,2.639936537296352
2020-02-02,3.300346007100461,2.5365001343388167
2020-02-03,3.0117179293171166,2.34599471702189
2020-02-04,2.839596430404235,2.179014003744028
2020-02-05,2.6157107797092403,2.0127212039091127
2020-02-06,2.3540455534771585,1.860575939600394
2020-02-07,2.164342231667837,1.7358814735790387
2020-02-08,1.9341038758946154,1.627512714792538
2020-02-09,1.7735295449928752,1.5499217170666741
2020-02-10,1.6041994143387113,1.4933103843897317
2020-02-11,1.4335770305224207,1.4652295640456339
2020-02-12,1.1729710578308712,1.473246278600144
2020-02-13,2.286383178060368,1.54930515793347
2020-02-14,2.14252056495942,1.362593715843897
2020-02-15,1.8029617600962657,1.165020276081297
2020-02-16,1.5420404615154488,1.0034109220394665
2020-02-17,1.3321334616591571,0.8669580143372448
2020-02-18,1.1642139970652927,0.7491122838183829
2020-02-19,0.9539417260791184,0.6439513528010896
2020-02-20,0.7932668158970528,0.5654187658926926
2020-02-21,0.670656046008776,0.5076958636913478
2020-02-22,0.6660685917861422,0.46641154957996844
2020-02-23,0.5334303861496899,0.41583040306208874
2020-02-24,0.4498507593719625,0.38603758454605375
2020-02-25,0.42387859796767624,0.3698711267762579
2020-02-26,0.39596802678442133,0.35618884650277693
2020-02-27,0.3836981388822409,0.3461111669293976
2020-02-28,0.36273068286190246,0.3365888615642473
2020-02-29,0.37172114957077595,0.3299660714872211
2020-03-01,0.41760531326002526,0.3193878110198408
2020-03-02,0.3786618667969217,0.2945053208213281
2020-03-03,0.33345125664481234,0.27318504304377267
2020-03-04,0.30168029522483253,0.2579171586542651
2020-03-05,0.289482803848353,0.24683017525582351
2020-03-06,0.2864051398489724,0.2360245287194347
2020-03-07,0.2608524693047881,0.22326106972248083
2020-03-08,0.2324719654458457,0.21373763845696414
2020-03-09,0.20492078743185071,0.20899147105253735
2020-03-10,0.17978795149703508,0.21002274086680406
2020-03-11,0.1670595657570133,0.2176824433942378
2020-03-12,0.14203380299452373,0.23050727835642637
2020-03-13,0.1252917954774797,0.25292121002145107
2020-03-14,0.13399898732813886,0.28525493450027395
2020-03-15,0.13829308018744801,0.32357422115626844
2020-03-16,0.15151598377980147,0.3705134740284485
2020-03-17,0.15960777765980616,0.42599445023251836
2020-03-18,0.20438746857799073,0.4934810347833627
2020-03-19,0.26679492940372296,0.5667201995298592
2020-03-20,0.4069145022474574,0.642703475666834
2020-03-21,0.43885481221290124,0.7024384178737495
2020-03-22,0.6379408990729499,0.769214871507299
2020-03-23,0.6404997152237232,0.8024719108120625
2020-03-24,0.7153627622980263,0.8435060592808626
2020-03-25,0.7243222781921664,0.8759699710934763
2020-03-26,0.852784796417355,0.9143885028844434
2020-03-27,0.9288775392636517,0.9299952286451015
2020-03-28,0.9545136380355498,0.9302783848488797
2020-03-29,1.0168699334681295,0.9241386089828522
2020-03-30,0.9633583522380953,0.9006459908651825
2020-03-31,0.9366133056223446,0.8847583977010727
2020-04-01,0.921554196648154,0.8716214393314683
2020-04-02,0.8891944638553676,0.8589714399303553
2020-04-03,0.8867601880953272,0.8513147180688636
2020-04-04,0.7806181765107089,0.8423349380866935
2020-04-05,0.7711340885055996,0.8579703053071204
2020-04-06,0.7798842691699838,0.8799694527518997
2020-04-07,0.7645068976342247,0.9053251026380407
2020-04-08,0.8650294150041461,0.9410000844474032
2020-04-09,0.8901077820384662,0.9602465465817547
2020-04-10,0.8671335739806116,0.9780155498803352
2020-04-11,0.8959090799734186,1.0061064666272261
2020-04-12,1.049789302241209,1.0340239490593262
2020-04-13,1.0391895811168799,1.0300299435401774
2020-04-14,1.066548280226645,1.027709434598025
2020-04-15,0.9755003035253451,1.0178699744851787
2020-04-16,0.9021763488299944,1.0286039363384758
