Date,R,lb_65,ub_65
2020-01-23,3.1303219687974204,2.7993260642231403,3.4581923350977224
2020-01-24,3.2327072658389056,2.9275597449098396,3.5413002204053483
2020-01-25,3.3293762496152106,3.030387551659968,3.6269046826407285
2020-01-26,3.3638611164496863,3.0688566485699935,3.655424446723303
2020-01-27,3.35777612037387,3.0652001857678526,3.6480310734196566
2020-01-28,3.3540350825604497,3.058700201481762,3.650274488763951
2020-01-29,3.079001757817995,2.813580739911118,3.3462416165689945
2020-01-30,2.9254381930172935,2.6681813301808166,3.180558759319063
2020-01-31,2.757892671942167,2.5049729651775916,3.0087028421959157
2020-02-01,2.6319112002233673,2.3833278420259445,2.877678076748004
2020-02-02,2.5326039523061086,2.2848701254068886,2.7811608396598997
2020-02-03,2.3412163782268505,2.097042411913935,2.5847871278385117
2020-02-04,2.1732323435306946,1.927692450754095,2.41959485199826
2020-02-05,2.0052494455297376,1.7576895448082346,2.2522601480654587
2020-02-06,1.853428508032149,1.6039794826105505,2.1004457447861817
2020-02-07,1.7292906179518044,1.4795037366431014,1.979804061718237
2020-02-08,1.6208000259294835,1.3675637398350722,1.8730909209801931
2020-02-09,1.544397960422991,1.2915613872512421,1.796568851025519
2020-02-10,1.4873690727621762,1.2374802475946243,1.737385058332707
2020-02-11,1.462508505785343,1.2177289944653322,1.7074729116112455
2020-02-12,1.4768599956138075,1.2306069405857731,1.7224227884070518
2020-02-13,1.564709857970208,1.307861556863211,1.8190424697917713
2020-02-14,1.3722720206799013,1.122169907202793,1.621050539703678
2020-02-15,1.1677945117130455,0.9224931927402966,1.4137921955344828
2020-02-16,1.0049591509595728,0.7573630030139841,1.2529686787557008
2020-02-17,0.8683155403133364,0.622761063331879,1.1151798485691953
2020-02-18,0.7518845014363111,0.5038983347370519,1.0025024637770337
2020-02-19,0.6478235228676643,0.39479108665842233,0.902033753846801
2020-02-20,0.5675225935709496,0.31775960822555627,0.8211945474314418
2020-02-21,0.5096412498245309,0.260605945913044,0.7592054801072217
2020-02-22,0.4697764489471301,0.21996905521980614,0.7181242761862019
2020-02-23,0.4205912710020401,0.1710619878532167,0.6705774946718684
2020-02-24,0.38928601880380176,0.13859319342697574,0.638159066922301
2020-02-25,0.37639688830157036,0.12997480727351152,0.62440805161204
2020-02-26,0.3637224550270307,0.11355760611241061,0.6125017288778165
2020-02-27,0.3542724502904756,0.10732080789102838,0.6016095641769102
2020-02-28,0.34585186031195014,0.10118777290815406,0.5930443959277183
2020-02-29,0.3400444323243408,0.09448699901136615,0.5866296183154949
2020-03-01,0.327688752199512,0.08157329242765132,0.574623823400441
2020-03-02,0.3013860155750818,0.05606130336869164,0.5503721089981619
2020-03-03,0.2804064123267024,0.03273768668196564,0.5302457916829121
2020-03-04,0.2622996355413131,0.014925219876565587,0.5066427099057378
2020-03-05,0.2530448534257349,0.009850373397639944,0.4985371292832671
2020-03-06,0.2417975055525342,0.0,0.48788279807006774
2020-03-07,0.227856855854774,0.0,0.47153368808194296
2020-03-08,0.21749462437688827,0.0,0.46249316214573366
2020-03-09,0.21297420689368174,0.0,0.45758798363407305
2020-03-10,0.214726067158292,0.0,0.460582584601411
2020-03-11,0.2208038923311748,0.0,0.467543171211099
2020-03-12,0.23514406269893384,0.0,0.47985689212286464
2020-03-13,0.256476746351618,0.01300906920633571,0.503260289236567
2020-03-14,0.2889396504502566,0.04454570785113743,0.532619529803597
2020-03-15,0.3271053095293952,0.0800027311509719,0.5741850264633734
2020-03-16,0.372273249825788,0.1237087318008726,0.6206508155739756
2020-03-17,0.4273192574731226,0.1842112654545146,0.6737955801709844
2020-03-18,0.49403175037859803,0.2482993183492299,0.7401151350844318
2020-03-19,0.5687071197390088,0.3235297908732312,0.8156693671128546
2020-03-20,0.6449765450433038,0.4007806011126652,0.8918485013479717
2020-03-21,0.7032638577424313,0.45726095581249127,0.9512869092357275
2020-03-22,0.7717310428541597,0.5276254673003095,1.0185766929594926
2020-03-23,0.8035873925689581,0.5572010813871545,1.0496168138945137
2020-03-24,0.8441476392195248,0.5987614930322036,1.092994037081495
2020-03-25,0.8763970319548111,0.631793655925853,1.1213699205426066
2020-03-26,0.9153138446170628,0.6667470425725918,1.1619454657893937
2020-03-27,0.9304791515875424,0.6841975315583464,1.1757417789712552
2020-03-28,0.9310449693050936,0.6820332145856701,1.177047499940787
2020-03-29,0.9240932079078948,0.6781172263876714,1.1706523180920405
2020-03-30,0.8987410197157943,0.650437721652452,1.1434451251157483
2020-03-31,0.8820309631216773,0.636537153162236,1.1297567362843735
2020-04-01,0.8686757160589191,0.6211369578408139,1.1148175387482744
2020-04-02,0.858146892922176,0.6115079196122306,1.1037254404082582
2020-04-03,0.8502524445172857,0.6029702192630161,1.0989720333942024
2020-04-04,0.8399860598157517,0.5927209458436833,1.0900600828085714
2020-04-05,0.8573127663251887,0.6090214325408754,1.1052684083427293
2020-04-06,0.8793558326921036,0.6341779292017882,1.1250666347286358
2020-04-07,0.9043916325892323,0.658980094986387,1.149477064073895
2020-04-08,0.9420368864230332,0.6979252189144178,1.1897647143097783
2020-04-09,0.9603471812043961,0.7161040058808983,1.203848199219079
2020-04-10,0.9785161807038306,0.7347572036311132,1.222701913636135
2020-04-11,1.0079279040173104,0.762006640922191,1.2539472120521724
2020-04-12,1.0365341967689332,0.7904492399338529,1.284615994416457
2020-04-13,1.031223186613827,0.7803185764094736,1.2785887049511835
2020-04-14,1.028864614326979,0.7799317674195883,1.277979915512152
2020-04-15,1.0198948691719254,0.7711870777131714,1.26837401708799
