Country/Region,Date,total_cases,total_deaths,total_recovered,new_cases,new_recovered,new_deaths,infected_5,infected_6,infected_7,infected_8,infected_9,infected_10,gr_infected_5,gr_infected_6,gr_infected_7,gr_infected_8,gr_infected_9,gr_infected_10
Syria,2020-07-25,627,36,191,19.0,7.0,1.0,92.5523655664585,106.79118723663996,120.18840837532943,132.87969170444663,144.9558540079725,156.48295791119963,0.006655488004202681,0.013685528487669352,0.01808732249413625,0.02098739908031244,0.022974668560708626,0.02437905220983749
Syria,2020-07-26,650,38,200,23.0,9.0,2.0,97.04189245316681,111.9926560305333,126.0186357502824,139.2697302413908,151.8496480070867,163.83466212007968,0.048507964753040415,0.04870691045289477,0.04850906550610157,0.04808890248749975,0.04755788613224965,0.046980861730975036
Syria,2020-07-27,674,40,210,24.0,10.0,2.0,101.6335139625335,117.32721335877777,132.01597350024207,145.86101396121694,158.97746489518815,171.45119590807172,0.047315869397153376,0.04763309950243588,0.047590879827043686,0.047327468132534856,0.046939963191543484,0.046489147592037934
Syria,2020-07-28,694,40,220,20.0,10.0,0.0,101.30681117002678,117.77267779898146,133.15654871449323,147.62838721606482,161.31330212905613,174.30607631726457,-0.003214518319489823,0.003796769968800851,0.008639675821116244,0.012116830994454821,0.014692882638479343,0.016651271483248076
Syria,2020-07-29,717,40,229,23.0,9.0,0.0,104.04544893602144,121.14389816581787,137.13418461242276,152.17483881405673,166.3896018924943,179.87546868553815,0.02703310601098985,0.02862480865545525,0.029871875895928657,0.030796594636896213,0.031468575104717456,0.031951797011002585
Syria,2020-07-30,738,41,229,21.0,0.0,1.0,104.23635914881714,121.95324847151493,138.5435868106481,154.15298396229963,168.90186834888382,182.88792181698432,0.0018348732669037915,0.0066809003008077026,0.01027754095165023,0.012999160463445623,0.015098698643516872,0.016747437287919498
Syria,2020-07-31,757,43,237,19.0,8.0,2.0,102.38908731905373,120.62770705959575,137.7516458376984,153.88386096701217,169.1349940878967,183.59912963528592,-0.01772195273173438,-0.010869258740809684,-0.005716186444862825,-0.0017458176181219807,0.0013802436958918474,0.003888763190241118
Syria,2020-08-01,780,43,237,23.0,0.0,0.0,104.91126985524298,123.52308921632981,141.07283928945574,157.64837834613562,173.3422169670193,188.2392166717573,0.02463331398130264,0.02400262947304133,0.02411000922392237,0.024463367083897625,0.02487494029139925,0.02527292501706735
Syria,2020-08-02,809,44,256,29.0,19.0,1.0,112.92901588419437,131.93590768027485,149.91957653381922,166.9423310528687,183.08197063735045,198.4152950045816,0.07642406807213686,0.06810725441954757,0.06271042171492391,0.05895368416874591,0.056188006826890284,0.054059289624907685
Syria,2020-08-03,847,46,268,38.0,12.0,2.0,128.34321270735552,147.94658973356238,166.50249417184506,184.0745396712601,200.73952945542263,216.57376550412343,0.1364945643285156,0.121351968048659,0.11061208963783996,0.10262351382266166,0.09644619159714153,0.09151749364444184
